Commune,Total employed population,of which: Wage-earners,of which: Non-wage-earners,Unemployed,Active population,Unemployment rate (in %),Year
Grand-Duche de Luxembourg,223407,203535,19872,19287,242694,7.94704442631462,2013
Canton Capellen,17802,15993,1809,1071,18873,5.67477348593228,2013
Dippach,1703,1535,168,114,1817,6.27407815079802,2013
Garnich,844,750,94,25,869,2.87686996547756,2013
Hobscheid,1431,1315,116,74,1505,4.91694352159468,2013
Kaerjeng,4094,3800,294,261,4355,5.99311136624569,2013
Kehlen,2146,1874,272,98,2244,4.36720142602496,2013
Koerich,971,858,113,45,1016,4.42913385826772,2013
Kopstal,1218,1029,189,66,1284,5.14018691588785,2013
Mamer,3002,2664,338,207,3209,6.45060766593955,2013
Septfontaines,369,331,38,30,399,7.5187969924812,2013
Steinfort,2024,1837,187,151,2175,6.94252873563218,2013
Canton Esch,65723,61782,3941,7340,73063,10.0461245774195,2013
Bettembourg,4081,3810,271,295,4376,6.74131627056673,2013
Differdange,9487,9099,388,1445,10932,13.2180753750457,2013
Dudelange,7985,7511,474,824,8809,9.35406970144171,2013
Esch-sur-Alzette,12725,12031,694,2054,14779,13.8980986534948,2013
Frisange,1862,1699,163,88,1950,4.51282051282051,2013
Kayl,3530,3334,196,333,3863,8.62024333419622,2013
Leudelange,1064,937,127,32,1096,2.91970802919708,2013
Mondercange,2683,2420,263,129,2812,4.58748221906117,2013
P?tange,6767,6420,347,810,7577,10.6902467995249,2013
Reckange-sur-Mess,955,838,117,34,989,3.43781597573306,2013
Roeser,2574,2342,232,138,2712,5.08849557522124,2013
Rumelange,2019,1926,93,255,2274,11.2137203166227,2013
Sanem,6320,5952,368,494,6814,7.24977986498386,2013
Schifflange,3671,3463,208,409,4080,10.0245098039216,2013
Canton Luxembourg,63167,56678,6489,5201,68368,7.60736016849988,2013
Bertrange,2653,2352,301,160,2813,5.68787771062922,2013
Contern,1403,1253,150,68,1471,4.62270564242012,2013
Hesperange,5944,5390,554,370,6314,5.85999366487171,2013
Luxembourg,39513,35531,3982,3855,43368,8.88904261206419,2013
Niederanven,1937,1659,278,73,2010,3.6318407960199,2013
Sandweiler,1406,1263,143,76,1482,5.12820512820513,2013
Schuttrange,1366,1200,166,49,1415,3.46289752650177,2013
Steinsel,1848,1640,208,119,1967,6.04982206405694,2013
Strassen,3111,2795,316,203,3314,6.12552806276403,2013
Walferdange,3095,2792,303,193,3288,5.8698296836983,2013
Weiler-la-Tour,891,803,88,35,926,3.77969762419006,2013
Canton Mersch,12962,11989,973,812,13774,5.8951648032525,2013
Bissen,1274,1193,81,88,1362,6.46108663729809,2013
Boevange-sur-Attert,999,904,95,43,1042,4.12667946257198,2013
Colmar-Berg,947,897,50,73,1020,7.15686274509804,2013
Fischbach,552,501,51,23,575,4,2013
Heffingen,541,484,57,23,564,4.07801418439716,2013
Larochette,967,900,67,72,1039,6.92974013474495,2013
Lintgen,1302,1230,72,79,1381,5.7204923968139,2013
Lorentzweiler,1451,1335,116,77,1528,5.03926701570681,2013
Mersch,3754,3508,246,290,4044,7.17111770524233,2013
Nommern,573,493,80,23,596,3.85906040268456,2013
Tuntange,602,544,58,21,623,3.37078651685393,2013
Canton Clervaux,7364,6346,1018,572,7936,7.20766129032258,2013
